BRISK,1,12.5156,12.5943
BRISK,1,12.5156,12.5943
BRISK,5,15.9082,13.8307
BRISK,7,12.1762,12.8421
BRISK,8,13.1258,12.2889
BRISK,10,11.1746,13.5741
BRISK,11,12.8086,12.0003
BRISK,12,9.01536,12.1131
BRISK,14,9.53507,11.3079
BRISK,15,8.57352,11.0664
BRISK,16,9.51617,11.1208
BRISK,17,9.68055,10.2864
BRISK,18,8.40002,11.6558
BRIEF,1,12.5156,11.7503
BRIEF,1,12.5156,11.7503
BRIEF,5,15.9082,14.8252
BRIEF,7,12.1762,13.192
BRIEF,8,13.1258,12.7749
BRIEF,10,11.1746,12.8723
BRIEF,11,12.8086,11.8062
BRIEF,12,9.01536,11.5078
BRIEF,14,9.53507,10.645
BRIEF,15,8.57352,11.5299
BRIEF,16,9.51617,10.3224
BRIEF,17,9.68055,9.89452
BRIEF,18,8.40002,11.5074
ORB,1,12.5156,11.4639
ORB,1,12.5156,11.4639
ORB,5,15.9082,13.5673
ORB,7,12.1762,13.5054
ORB,8,13.1258,12.4249
ORB,10,11.1746,13.2095
ORB,11,12.8086,11.7503
ORB,12,9.01536,11.1959
ORB,14,9.53507,10.5378
ORB,15,8.57352,10.0358
ORB,16,9.51617,10.2876
ORB,17,9.68055,9.67811
ORB,18,8.40002,11.2664
FREAK,1,12.5156,12.0053
FREAK,1,12.5156,12.0053
FREAK,5,15.9082,12.6957
FREAK,7,12.1762,12.8681
FREAK,8,13.1258,12.3664
FREAK,10,11.1746,12.7096
FREAK,11,12.8086,11.9855
FREAK,12,9.01536,12.1329
FREAK,14,9.53507,11.0841
FREAK,15,8.57352,10.6427
FREAK,16,9.51617,10.8487
FREAK,17,9.68055,10.1289
FREAK,18,8.40002,11.4087
SIFT,1,12.5156,12.2719
SIFT,1,12.5156,12.2719
SIFT,5,15.9082,14.3505
SIFT,7,12.1762,12.409
SIFT,8,13.1258,12.6899
SIFT,10,11.1746,12.6708
SIFT,11,12.8086,11.8009
SIFT,12,9.01536,11.171
SIFT,14,9.53507,11.342
SIFT,15,8.57352,10.8729
SIFT,16,9.51617,10.3505
SIFT,17,9.68055,9.44413
SIFT,18,8.40002,10.6624
